RTCM-Ref 0428,-7004.9649,-10099.0371,228.9013,
1,-7009.3924,-10102.5276,251.4859,701
2,-7008.9073,-10102.9577,251.4618,
3,-7008.1586,-10103.1182,251.4341,
4,-7008.3411,-10106.2831,251.4112,
5,-7005.3263,-10107.1889,251.4039,
6,-7004.9275,-10103.3448,251.4538,
7,-7004.2170,-10103.3592,251.4150,
8,-7002.9241,-10099.0011,251.6230,
9,-6999.0630,-10097.6388,251.4708,
10,-7000.0367,-10100.3749,251.4291,701
11,-7017.0926,-10095.8584,251.4891,131
12,-6996.3121,-10102.7276,251.6247,104
13,-6995.4193,-10103.1302,251.5968,
14,-6995.0100,-10101.2024,251.4220,
15,-6989.7561,-10101.8284,251.4918,
16,-6979.6305,-10101.0332,251.4875,
17,-6974.2260,-10101.9825,251.4491,
18,-6980.5149,-10105.3159,251.4721,165
19,-6973.0356,-10104.5197,251.4248,701
20,-6973.4460,-10106.5658,251.4019,165
21,-6971.7906,-10106.0606,251.3999,165
22,-6970.5941,-10106.6259,251.3792,165
23,-6968.9901,-10107.1833,251.3713,165
24,-6968.7211,-10107.3044,251.3457,165
25,-6965.5725,-10107.1839,251.3225,167
26,-6963.3148,-10107.5514,251.3472,165
27,-6961.6505,-10107.9328,251.3596,164
28,-6958.4529,-10106.7357,251.3878,
29,-6959.9542,-10104.5303,251.3896,
30,-6948.0367,-10108.0401,251.1495,701
31,-6934.2340,-10108.8686,251.3620,
32,-6924.6236,-10112.3247,251.3374,
33,-6921.9633,-10111.9468,251.2083,701
34,-6909.2255,-10113.1798,251.2887,
35,-6908.0675,-10114.6438,251.2507,
36,-6908.7523,-10114.5848,251.2769,
37,-6908.2664,-10117.7710,251.2862,
38,-6905.7746,-10118.5258,251.2683,
39,-6905.1578,-10116.6294,251.2592,
40,-6904.2863,-10114.9511,251.2252,
41,-6902.8865,-10114.2257,251.2475,
42,-6900.8006,-10117.4202,251.2486,
43,-6898.9554,-10116.7025,251.2166,104
44,-6896.9680,-10116.9799,251.2089,104
45,-6887.6058,-10116.8405,251.1470,
46,-6871.8082,-10119.6815,251.0794,
47,-6849.5801,-10123.6615,251.0490,
48,-6837.9328,-10126.1939,251.2255,
49,-6834.0105,-10127.7319,251.0099,
50,-6831.5774,-10131.6310,251.2108,
51,-6832.7201,-10120.1448,250.9294,
52,-6828.9113,-10117.2598,250.9384,
53,-6836.6421,-10120.3418,251.0484,
54,-6852.3904,-10117.0938,250.9386,
55,-6855.6072,-10115.1492,250.9197,901
56,-6865.9323,-10114.6841,250.9148,
57,-6887.9750,-10108.8826,250.7226,162
58,-6889.2537,-10108.8597,250.7563,162
59,-6902.9134,-10106.4751,250.7510,162
60,-6906.9200,-10107.5070,251.0121,
61,-6929.9963,-10103.4427,251.1209,
